"Days since purchase","Purchase visits","Total sales","Credit card","Coupons","Items purchased","Blouse","Suit"
19,14,1262.91,"Yes",3,50,"Yes","No"
28,4,218.98,"Yes",0,6,"Yes","No"
250,3,336.48,"Yes",0,7,"No","No"
173,3,203.46,"No",1,8,"Yes","No"
12,6,1724.98,"Yes",1,34,"Yes","No"
290,1,132.49,"No",0,4,"Yes","No"
293,1,97.62,"Yes",0,6,"No","No"
299,1,98,"No",0,2,"No","No"
317,4,254.39,"Yes",0,12,"No","No"
179,3,170.73,"No",0,8,"No","No"
275,1,139.5,"No",0,1,"No","No"
44,16,1780.07,"Yes",3,69,"Yes","No"
307,1,68,"No",0,1,"No","No"
299,1,184.93,"No",0,7,"No","No"
54,10,317.43,"No",0,17,"Yes","No"
92,7,239.94,"No",0,11,"Yes","No"
38,2,233.5,"Yes",2,10,"Yes","No"
125,3,475.49,"Yes",1,10,"Yes","No"
77,6,355.95,"No",0,9,"No","No"
280,2,70.98,"No",0,2,"No","No"
176,3,99.96,"No",0,7,"No","No"
94,3,232.94,"No",0,7,"Yes","No"
250,4,478,"No",0,14,"No","No"
31,4,97.45,"No",0,7,"Yes","No"
59,9,715.57,"Yes",0,34,"Yes","No"
227,2,127.97,"No",0,4,"No","No"
59,7,581.27,"Yes",2,17,"Yes","No"
63,8,809.48,"Yes",0,36,"Yes","No"
317,1,354.6,"Yes",0,2,"No","No"
330,1,79,"No",0,1,"No","No"
355,1,83,"No",0,2,"Yes","No"
145,2,176.99,"No",0,5,"Yes","No"
292,2,318.47,"No",0,10,"No","No"
197,2,208.98,"No",0,4,"No","Yes"
70,3,289.99,"No",0,5,"Yes","Yes"
174,2,488,"No",1,4,"No","No"
6,3,375.15,"No",0,11,"Yes","No"
301,1,183.59,"Yes",1,3,"No","No"
173,1,123.73,"No",1,5,"Yes","No"
45,2,77.98,"No",0,5,"No","No"
84,3,138.45,"No",0,7,"No","No"
55,8,955.36,"Yes",3,38,"Yes","Yes"
239,1,193.98,"No",0,4,"Yes","No"
84,14,813.17,"Yes",2,43,"Yes","Yes"
198,4,338.88,"Yes",2,15,"No","No"
29,5,357.97,"No",0,13,"Yes","No"
41,7,760.49,"Yes",0,17,"Yes","No"
119,4,238.99,"Yes",1,6,"No","No"
343,1,401.4,"Yes",0,9,"Yes","No"
98,14,791.11,"Yes",5,39,"Yes","No"
78,2,189.49,"No",0,5,"Yes","No"
95,1,296.99,"No",0,4,"No","No"
85,1,68.56,"No",0,4,"Yes","No"
38,34,3039.09,"No",5,92,"Yes","No"
148,5,642.93,"Yes",1,23,"Yes","No"
334,1,99.99,"No",0,1,"No","Yes"
216,1,358.98,"No",0,7,"Yes","No"
7,2,184.73,"Yes",0,10,"Yes","No"
259,1,79.99,"No",0,2,"No","No"
15,22,1374.86,"No",3,55,"Yes","No"
211,1,97.99,"Yes",1,5,"No","No"
16,5,701.45,"No",2,23,"Yes","No"
252,3,268.5,"No",0,6,"No","No"
127,3,452.24,"Yes",1,11,"Yes","No"
226,2,200.46,"No",0,9,"No","No"
73,2,133.97,"No",0,5,"No","No"
215,3,133,"Yes",1,4,"No","No"
49,5,625.92,"Yes",2,15,"Yes","Yes"
121,3,137.99,"No",0,5,"No","No"
140,1,79.97,"No",0,3,"Yes","No"
35,3,222,"No",0,6,"No","No"
41,5,278.36,"No",0,10,"Yes","No"
79,7,751.33,"Yes",0,18,"Yes","No"
129,1,314.49,"No",0,6,"No","No"
11,18,851.07,"Yes",2,53,"Yes","Yes"
229,3,183.93,"No",0,7,"No","Yes"
9,10,494.57,"Yes",0,31,"Yes","No"
285,1,104.94,"No",0,6,"No","No"
197,6,596.41,"Yes",2,17,"Yes","No"
148,2,545.94,"Yes",0,17,"Yes","Yes"
16,4,263.97,"Yes",0,10,"Yes","No"
24,4,344.98,"Yes",2,14,"Yes","No"
44,8,763.56,"Yes",1,19,"Yes","No"
212,2,334,"No",1,9,"Yes","No"
41,3,225.16,"Yes",0,12,"Yes","No"
68,14,714.87,"Yes",4,30,"No","Yes"
13,34,2731.72,"Yes",9,71,"Yes","No"
6,12,1260.9,"No",0,43,"Yes","Yes"
16,3,380.47,"Yes",0,15,"No","No"
119,3,234.57,"Yes",1,8,"Yes","No"
75,8,958.69,"Yes",1,32,"No","No"
28,2,307,"No",1,8,"No","No"
196,1,119,"No",0,1,"No","No"
275,3,251.25,"No",0,7,"No","No"
243,1,128.99,"No",0,2,"No","No"
43,10,349.42,"Yes",0,15,"Yes","No"
7,13,887.83,"Yes",2,41,"Yes","No"
99,3,253.71,"No",0,9,"Yes","No"
37,6,340.99,"No",0,7,"Yes","No"
84,6,237.82,"Yes",0,13,"Yes","No"
23,2,85.58,"Yes",0,4,"Yes","No"
85,1,187.48,"Yes",2,10,"No","No"
60,12,668.23,"Yes",2,23,"Yes","No"
56,3,140.89,"Yes",0,11,"No","No"
10,7,367.88,"Yes",0,18,"Yes","No"
25,3,255,"No",0,18,"Yes","No"
127,2,269.99,"No",0,9,"Yes","No"
95,4,638.95,"No",0,9,"Yes","Yes"
136,2,138,"No",0,2,"No","No"
213,1,92,"No",0,2,"No","No"
343,1,232,"No",0,3,"No","No"
57,2,266.5,"No",0,6,"No","No"
133,6,163.94,"No",0,10,"Yes","No"
51,53,1265.8,"No",2,85,"No","No"
62,36,353.94,"No",0,43,"No","Yes"
264,2,120.96,"Yes",0,7,"No","No"
120,2,229.49,"No",0,14,"Yes","No"
73,10,713.24,"Yes",2,23,"Yes","No"
335,1,143,"No",0,4,"No","No"
20,11,662.06,"Yes",3,22,"Yes","No"
204,1,87.99,"No",0,4,"Yes","No"
258,3,67.75,"Yes",0,6,"No","No"
125,3,161,"No",0,6,"No","No"
93,3,114.29,"Yes",1,5,"No","No"
59,1,81,"No",0,3,"No","No"
270,1,182.99,"No",0,4,"Yes","No"
263,1,102.22,"No",0,5,"No","No"
295,5,98.78,"Yes",0,13,"No","No"
64,22,1358.2,"No",0,37,"Yes","Yes"
23,4,625.48,"Yes",0,16,"No","No"
240,2,77.96,"No",0,4,"Yes","No"
55,5,278.93,"No",0,15,"Yes","Yes"
82,7,886.85,"Yes",4,36,"Yes","No"
125,4,223.23,"No",1,12,"No","No"
40,7,1573.65,"Yes",3,47,"Yes","Yes"
353,2,192,"No",0,3,"Yes","No"
9,3,181.99,"No",0,11,"No","No"
297,2,160.98,"Yes",0,5,"No","No"
105,8,455.5,"Yes",0,16,"Yes","Yes"
1,3,440.1,"Yes",1,15,"No","No"
77,9,1109.31,"Yes",5,40,"Yes","No"
35,3,187.25,"No",0,4,"No","No"
76,3,105.96,"Yes",1,7,"Yes","No"
302,4,176,"No",0,8,"No","No"
279,3,412.95,"No",1,13,"No","No"
149,4,188.44,"No",0,13,"No","No"
48,20,1036.58,"Yes",4,53,"Yes","No"
10,4,427.66,"Yes",2,14,"Yes","No"
293,1,115,"No",0,3,"No","No"
8,6,1097.77,"Yes",4,59,"Yes","No"
39,1,138.99,"No",0,3,"No","No"
70,4,664.32,"Yes",3,15,"No","Yes"
51,9,1211.26,"Yes",2,28,"Yes","Yes"
77,9,1179.34,"No",1,51,"Yes","No"
4,19,1956.83,"Yes",5,64,"Yes","No"
154,1,97.5,"No",0,2,"No","No"
85,3,325.3,"Yes",1,26,"Yes","No"
228,6,992.77,"No",0,28,"Yes","Yes"
5,17,2753.63,"Yes",2,115,"Yes","No"
127,5,394.27,"No",3,22,"No","No"
14,13,1299.66,"Yes",1,59,"Yes","No"
132,1,77.99,"No",0,3,"No","No"
60,7,632.73,"Yes",3,21,"No","No"
2,5,494.47,"No",0,17,"Yes","No"
12,31,2766.94,"Yes",9,102,"Yes","No"
124,3,440.98,"Yes",0,9,"Yes","No"
8,2,332.99,"No",0,6,"Yes","No"
30,3,798.16,"No",1,17,"Yes","No"
261,2,267.94,"No",0,11,"Yes","No"
12,16,1690.35,"No",0,79,"Yes","Yes"
251,1,296.99,"No",0,9,"No","No"
91,1,170.08,"Yes",1,3,"No","No"
136,1,338.27,"No",1,9,"Yes","No"
209,4,69.95,"Yes",1,10,"Yes","No"
49,2,200.75,"No",0,6,"No","No"
127,8,536.99,"Yes",1,23,"Yes","No"
286,2,252.96,"No",0,7,"No","No"
218,1,89.98,"Yes",0,2,"No","No"
334,1,177,"No",0,4,"No","No"
247,1,92.99,"No",0,2,"No","No"
261,1,412.88,"No",0,8,"Yes","No"
43,6,782.33,"No",0,30,"No","No"
39,7,476.9,"Yes",1,28,"Yes","Yes"
82,2,213.95,"No",1,8,"No","No"
120,1,68,"Yes",0,2,"No","No"
131,2,341.94,"Yes",0,11,"Yes","No"
90,2,369.49,"Yes",1,6,"Yes","No"
55,4,174.45,"No",0,6,"Yes","No"
289,1,75.74,"Yes",0,3,"Yes","No"
9,6,789.38,"Yes",1,28,"Yes","No"
63,6,271.1,"Yes",1,15,"Yes","No"
127,3,315.21,"Yes",1,8,"Yes","Yes"
85,5,468.97,"Yes",1,9,"Yes","Yes"
49,9,648.28,"Yes",1,28,"Yes","Yes"
173,5,89.45,"Yes",1,10,"No","No"
198,2,140,"No",0,3,"No","No"
82,1,97.97,"No",0,3,"No","No"
256,1,129.94,"No",0,7,"No","No"
40,5,342.93,"No",1,9,"Yes","No"
7,3,732.45,"Yes",3,22,"Yes","No"
123,5,854.38,"Yes",2,46,"Yes","No"
23,7,315.12,"Yes",2,11,"No","No"
143,6,543.54,"Yes",2,15,"No","No"
61,3,222.95,"Yes",0,6,"Yes","No"
127,2,264.46,"Yes",1,12,"Yes","No"
52,3,185.96,"Yes",1,8,"No","No"
41,7,1032.66,"Yes",1,34,"Yes","No"
171,1,164.98,"No",0,2,"No","Yes"
22,18,1974.04,"Yes",8,66,"Yes","Yes"
314,2,70.19,"No",0,5,"No","No"
272,1,71.49,"No",0,3,"No","No"
5,3,778.42,"Yes",2,22,"Yes","No"
34,3,349.26,"Yes",1,16,"Yes","Yes"
117,1,62.99,"No",0,5,"No","No"
90,3,405.49,"No",1,12,"No","No"
160,2,267.97,"No",0,10,"Yes","No"
26,3,211.98,"No",1,5,"Yes","No"
15,5,248.49,"No",0,12,"Yes","No"
91,10,724.44,"Yes",1,22,"Yes","No"
142,3,308.97,"No",0,8,"No","No"
12,3,163.91,"No",0,9,"Yes","No"
73,6,450.99,"No",0,14,"No","No"
174,1,117.75,"No",1,5,"No","No"
108,7,384.69,"Yes",0,29,"No","No"
79,2,253.48,"No",0,7,"Yes","No"
145,3,246.24,"No",0,4,"No","No"
127,4,783.14,"Yes",2,33,"Yes","Yes"
8,4,81.87,"No",0,7,"No","No"
17,2,112,"No",0,6,"Yes","No"
124,2,108.97,"No",0,5,"Yes","No"
6,18,1654.19,"Yes",3,53,"Yes","No"
242,5,418.76,"Yes",0,10,"Yes","No"
21,4,522.21,"No",0,15,"Yes","No"
280,1,69.98,"No",0,2,"No","No"
145,1,429.97,"No",0,8,"Yes","Yes"
78,12,1520.14,"Yes",6,64,"Yes","Yes"
278,3,95,"No",0,7,"No","No"
10,2,153.95,"No",0,7,"No","No"
41,1,82.99,"No",0,3,"No","No"
32,8,1403.71,"No",2,41,"Yes","No"
35,3,746.98,"Yes",2,12,"No","Yes"
93,9,752.69,"No",1,21,"Yes","No"
301,3,444.7,"Yes",1,9,"Yes","No"
8,7,457.47,"No",1,20,"No","No"
89,1,68.98,"No",0,3,"Yes","No"
40,2,200.99,"No",0,4,"No","No"
137,7,502.4,"Yes",3,28,"Yes","No"
31,3,293.91,"No",1,17,"Yes","No"
79,2,84.95,"No",0,5,"No","No"
100,1,69,"No",0,4,"No","No"
148,1,66,"No",0,1,"No","No"
33,3,212.38,"Yes",1,9,"No","No"
111,5,530.92,"Yes",0,22,"Yes","No"
30,2,471.25,"Yes",1,12,"No","No"
259,1,48.98,"No",0,2,"No","No"
5,1,129.99,"Yes",0,1,"No","Yes"
16,3,161,"Yes",0,5,"No","No"
16,21,1350.12,"Yes",3,48,"Yes","No"
260,3,392.73,"No",0,16,"Yes","No"
50,5,280.16,"Yes",2,19,"Yes","No"
115,3,78.97,"No",0,4,"No","No"
245,3,216.98,"No",0,7,"No","No"
201,1,265,"No",0,5,"Yes","No"
251,2,136.99,"No",0,5,"No","No"
203,6,418.73,"Yes",0,18,"Yes","No"
21,7,336.95,"No",0,14,"Yes","No"
28,6,285.72,"Yes",1,17,"Yes","No"
39,7,1145.84,"Yes",3,42,"Yes","No"
101,12,1914.07,"Yes",1,51,"No","Yes"
8,2,511.95,"No",0,16,"Yes","Yes"
8,12,1964.44,"No",1,46,"Yes","No"
207,3,253.96,"No",0,8,"No","No"
127,4,127.71,"No",1,7,"No","No"
212,1,172,"No",0,2,"No","No"
313,1,34,"No",0,1,"No","No"
18,25,2130.73,"Yes",12,110,"Yes","No"
6,5,149.23,"Yes",1,10,"Yes","No"
244,1,29.99,"No",0,1,"No","No"
12,16,525.24,"Yes",3,36,"No","Yes"
51,8,1507.14,"Yes",5,31,"Yes","No"
236,4,179.47,"No",0,4,"No","Yes"
21,20,1452.65,"Yes",8,85,"Yes","No"
1,2,372.47,"No",0,14,"No","No"
93,14,1104.88,"Yes",6,53,"Yes","Yes"
359,1,695.86,"No",0,5,"No","Yes"
173,3,367.94,"Yes",0,9,"Yes","Yes"
258,1,80.75,"No",0,3,"No","No"
147,3,265.93,"No",0,8,"Yes","No"
24,2,87.98,"Yes",1,3,"No","No"
23,1,113.85,"Yes",1,5,"Yes","No"
331,1,150.3,"Yes",0,3,"No","No"
299,2,74.7,"Yes",0,4,"No","No"
24,3,417.03,"Yes",3,11,"Yes","No"
104,3,140.43,"Yes",0,8,"Yes","No"
50,3,1309.31,"Yes",4,46,"Yes","No"
166,4,96.48,"No",0,8,"Yes","No"
265,2,123,"Yes",0,2,"No","No"
216,3,137.48,"No",0,7,"No","No"
19,16,1197.91,"Yes",3,58,"Yes","No"
27,9,922.87,"No",0,32,"Yes","No"
52,22,1758.78,"Yes",2,67,"Yes","No"
264,6,176.24,"No",0,9,"No","No"
267,5,227.95,"No",0,8,"No","No"
